layer,expert,activation_count,share_of_layer_topk_picks
7,50,984,0.003754
7,51,2207,0.008419
7,52,3422,0.013054
7,53,2780,0.010605
7,54,1867,0.007122
7,55,1959,0.007473
7,56,1996,0.007614
7,57,1662,0.006340
7,58,1225,0.004673
7,59,1881,0.007175
7,60,1916,0.007309
7,61,4056,0.015472
7,62,2281,0.008701
7,63,4472,0.017059
7,64,1927,0.007351
7,65,2200,0.008392
7,66,1996,0.007614
7,67,1224,0.004669
7,68,1155,0.004406
7,69,1709,0.006519
7,70,2728,0.010406
7,71,1122,0.004280
7,72,952,0.003632
7,73,1828,0.006973
7,74,1432,0.005463
7,75,1294,0.004936
7,76,3588,0.013687
7,77,1863,0.007107
7,78,2333,0.008900
7,79,1757,0.006702
7,80,2679,0.010220
7,81,1856,0.007080
7,82,1677,0.006397
7,83,2512,0.009583
7,84,1784,0.006805
7,85,3183,0.012142
7,86,1356,0.005173
7,87,3424,0.013062
7,88,1105,0.004215
7,89,1570,0.005989
7,90,1969,0.007511
7,91,1008,0.003845
7,92,1446,0.005516
7,93,2551,0.009731
7,94,1634,0.006233
7,95,1322,0.005043
7,96,2551,0.009731
7,97,1963,0.007488
7,98,2433,0.009281
7,99,3363,0.012829
7,100,1841,0.007023
7,101,2183,0.008327
7,102,5199,0.019833
7,103,624,0.002380
7,104,2091,0.007977
7,105,1305,0.004978
7,106,2334,0.008904
7,107,1188,0.004532
7,108,1537,0.005863
7,109,942,0.003593
7,110,2494,0.009514
7,111,1923,0.007336
7,112,1607,0.006130
7,113,1094,0.004173
7,114,3075,0.011730
7,115,773,0.002949
7,116,2931,0.011181
7,117,2151,0.008205
7,118,1440,0.005493
7,119,1943,0.007412
7,120,908,0.003464
7,121,3259,0.012432
7,122,977,0.003727
7,123,1370,0.005226
7,124,2736,0.010437
7,125,1551,0.005917
7,126,2039,0.007778
7,127,2018,0.007698
8,0,1352,0.005157
8,1,1510,0.005760
8,2,3741,0.014271
8,3,2732,0.010422
8,4,2422,0.009239
8,5,1877,0.007160
8,6,1178,0.004494
8,7,983,0.003750
8,8,2380,0.009079
8,9,1412,0.005386
8,10,1673,0.006382
